datetime,upstream,downstream
2015-09-30 00:00:00+00:00,18700.0,20700.0
2015-10-01 00:00:00+00:00,17000.0,19000.0
2015-10-02 00:00:00+00:00,16000.0,18000.0
2015-10-03 00:00:00+00:00,15000.0,17600.0
2015-10-04 00:00:00+00:00,15400.0,16900.0
2015-10-05 00:00:00+00:00,15600.0,16400.0
2015-10-06 00:00:00+00:00,15200.0,16200.0
2015-10-07 00:00:00+00:00,15400.0,16100.0
2015-10-08 00:00:00+00:00,15700.0,16100.0
2015-10-09 00:00:00+00:00,16200.0,16100.0
2015-10-10 00:00:00+00:00,15400.0,16100.0
2015-10-11 00:00:00+00:00,16000.0,16100.0
2015-10-12 00:00:00+00:00,16300.0,16300.0
2015-10-13 00:00:00+00:00,15600.0,16400.0
2015-10-14 00:00:00+00:00,15800.0,16400.0
2015-10-15 00:00:00+00:00,15900.0,16300.0
2015-10-16 00:00:00+00:00,14700.0,16200.0
2015-10-17 00:00:00+00:00,13800.0,15700.0
2015-10-18 00:00:00+00:00,12800.0,15200.0
2015-10-19 00:00:00+00:00,13800.0,14900.0
2015-10-20 00:00:00+00:00,14000.0,15000.0
2015-10-21 00:00:00+00:00,14900.0,15000.0
2015-10-22 00:00:00+00:00,14100.0,15100.0
2015-10-23 00:00:00+00:00,13700.0,15200.0
2015-10-24 00:00:00+00:00,16400.0,15300.0
2015-10-25 00:00:00+00:00,15200.0,15900.0
2015-10-26 00:00:00+00:00,15000.0,16400.0
2015-10-27 00:00:00+00:00,16200.0,17000.0
2015-10-28 00:00:00+00:00,18500.0,17600.0
2015-10-29 00:00:00+00:00,20200.0,18100.0
2015-10-30 00:00:00+00:00,19000.0,18800.0
2015-10-31 00:00:00+00:00,21100.0,20300.0
2015-11-01 00:00:00+00:00,22900.0,21600.0
2015-11-02 00:00:00+00:00,22400.0,22000.0
2015-11-03 00:00:00+00:00,23900.0,22500.0
2015-11-04 00:00:00+00:00,23400.0,23000.0
2015-11-05 00:00:00+00:00,23300.0,23400.0
2015-11-06 00:00:00+00:00,23900.0,23600.0
2015-11-07 00:00:00+00:00,23500.0,23600.0
2015-11-08 00:00:00+00:00,20700.0,23500.0
2015-11-09 00:00:00+00:00,20000.0,22500.0
2015-11-10 00:00:00+00:00,19000.0,21300.0
2015-11-11 00:00:00+00:00,20100.0,20700.0
2015-11-12 00:00:00+00:00,27500.0,20900.0
2015-11-13 00:00:00+00:00,24700.0,21400.0
2015-11-14 00:00:00+00:00,23000.0,22200.0
2015-11-15 00:00:00+00:00,25200.0,23100.0
2015-11-16 00:00:00+00:00,25300.0,23900.0
2015-11-17 00:00:00+00:00,28200.0,24800.0
2015-11-18 00:00:00+00:00,32900.0,25500.0
2015-11-19 00:00:00+00:00,35700.0,26600.0
2015-11-20 00:00:00+00:00,41300.0,28600.0
2015-11-21 00:00:00+00:00,47100.0,31500.0
2015-11-22 00:00:00+00:00,48800.0,35800.0
2015-11-23 00:00:00+00:00,50400.0,42000.0
2015-11-24 00:00:00+00:00,47400.0,46300.0
2015-11-25 00:00:00+00:00,47100.0,46800.0
2015-11-26 00:00:00+00:00,45800.0,45700.0
2015-11-27 00:00:00+00:00,42300.0,43800.0
2015-11-28 00:00:00+00:00,40000.0,41800.0
2015-11-29 00:00:00+00:00,36600.0,39700.0
2015-11-30 00:00:00+00:00,33600.0,38600.0
2015-12-01 00:00:00+00:00,32300.0,37700.0
2015-12-02 00:00:00+00:00,32500.0,36800.0
2015-12-03 00:00:00+00:00,31800.0,35500.0
2015-12-04 00:00:00+00:00,31100.0,33800.0
2015-12-05 00:00:00+00:00,29100.0,32200.0
2015-12-06 00:00:00+00:00,29000.0,31000.0
2015-12-07 00:00:00+00:00,27700.0,30000.0
2015-12-08 00:00:00+00:00,27800.0,29300.0
2015-12-09 00:00:00+00:00,29100.0,28800.0
2015-12-10 00:00:00+00:00,30100.0,28600.0
2015-12-11 00:00:00+00:00,29200.0,28600.0
2015-12-12 00:00:00+00:00,30100.0,29200.0
2015-12-13 00:00:00+00:00,31900.0,30200.0
2015-12-14 00:00:00+00:00,34200.0,31200.0
2015-12-15 00:00:00+00:00,35000.0,32300.0
2015-12-16 00:00:00+00:00,37400.0,33700.0
2015-12-17 00:00:00+00:00,41900.0,35100.0
2015-12-18 00:00:00+00:00,43000.0,36600.0
2015-12-19 00:00:00+00:00,40100.0,39100.0
2015-12-20 00:00:00+00:00,36700.0,40800.0
2015-12-21 00:00:00+00:00,36700.0,39600.0
2015-12-22 00:00:00+00:00,34100.0,37200.0
