datetime,upstream,downstream
2007-10-01 00:00:00+00:00,523.0,444.0
2007-10-02 00:00:00+00:00,515.0,438.0
2007-10-03 00:00:00+00:00,508.0,434.0
2007-10-04 00:00:00+00:00,497.0,432.0
2007-10-05 00:00:00+00:00,491.0,408.0
2007-10-06 00:00:00+00:00,486.0,418.0
2007-10-07 00:00:00+00:00,478.0,437.0
2007-10-08 00:00:00+00:00,484.0,451.0
2007-10-09 00:00:00+00:00,509.0,496.0
2007-10-10 00:00:00+00:00,514.0,544.0
2007-10-11 00:00:00+00:00,513.0,604.0
2007-10-12 00:00:00+00:00,492.0,604.0
2007-10-13 00:00:00+00:00,476.0,606.0
2007-10-14 00:00:00+00:00,461.0,631.0
2007-10-15 00:00:00+00:00,448.0,607.0
2007-10-16 00:00:00+00:00,444.0,634.0
2007-10-17 00:00:00+00:00,434.0,624.0
2007-10-18 00:00:00+00:00,462.0,682.0
2007-10-19 00:00:00+00:00,510.0,888.0
2007-10-20 00:00:00+00:00,508.0,1100.0
2007-10-21 00:00:00+00:00,508.0,1100.0
2007-10-22 00:00:00+00:00,503.0,1100.0
2007-10-23 00:00:00+00:00,495.0,1090.0
2007-10-24 00:00:00+00:00,487.0,925.0
2007-10-25 00:00:00+00:00,484.0,739.0
2007-10-26 00:00:00+00:00,493.0,668.0
2007-10-27 00:00:00+00:00,505.0,650.0
2007-10-28 00:00:00+00:00,519.0,650.0
2007-10-29 00:00:00+00:00,533.0,653.0
2007-10-30 00:00:00+00:00,550.0,656.0
2007-10-31 00:00:00+00:00,573.0,656.0
2007-11-01 00:00:00+00:00,578.0,656.0
2007-11-02 00:00:00+00:00,596.0,656.0
2007-11-03 00:00:00+00:00,615.0,656.0
2007-11-04 00:00:00+00:00,635.0,658.0
2007-11-05 00:00:00+00:00,654.0,717.0
2007-11-06 00:00:00+00:00,664.0,748.0
2007-11-07 00:00:00+00:00,674.0,741.0
2007-11-08 00:00:00+00:00,684.0,750.0
2007-11-09 00:00:00+00:00,690.0,798.0
2007-11-10 00:00:00+00:00,703.0,828.0
2007-11-11 00:00:00+00:00,721.0,852.0
2007-11-12 00:00:00+00:00,733.0,824.0
2007-11-13 00:00:00+00:00,740.0,834.0
2007-11-14 00:00:00+00:00,747.0,819.0
2007-11-15 00:00:00+00:00,750.0,800.0
2007-11-16 00:00:00+00:00,752.0,818.0
2007-11-17 00:00:00+00:00,755.0,811.0
2007-11-18 00:00:00+00:00,752.0,817.0
2007-11-19 00:00:00+00:00,754.0,848.0
2007-11-20 00:00:00+00:00,756.0,853.0
2007-11-21 00:00:00+00:00,755.0,833.0
2007-11-22 00:00:00+00:00,750.0,847.0
2007-11-23 00:00:00+00:00,760.0,844.0
