sites,latitude
07374525,29.85715084
07374000,30.44566667
07289000,32.315
07032000,35.12314616
07022000,37.2216
07020500,37.90074167
07010000,38.629
05587450,38.9679722
05474500,40.39365535
05420500,41.78058635
05378500,44.0555186
05355341,44.410475
05355250,44.56530556
05344500,44.74580095
05331580,44.7458333
05331000,44.9444444
05288500,45.1266318
05270700,45.5471875
05267000,45.8260765
05242300,46.377744
05227500,46.5405128
05211000,47.23216599
05207600,47.3022222
05200510,47.48328559
